desenvolvedor,total_jogos,avaliacoes_positivas,avaliacoes_negativas,tempo_medio_jogado
Robert Alvarez,4,804,199,2.2575000000000003
Robert Dahlenburg,1,10,15,0.0
Robert Gammon,1,588,235,3.1
Robert Hendry Games,1,4,0,0.0
Robert J. Deutsch,1,4,1,0.0
"Robert Morgan, Jeremy Stanton",1,15,0,0.0
"Robert Raulus, Mikko Tamper, Antti Allén",1,183,6,0.0
Robert Wahler,2,567,23,1.05
Robert Weaver,1,120,82,0.43
Robert Wolff and Knut Müller,1,17,4,0.0
Robert Yang,1,2537,406,0.57
Roberto Shell,1,0,1,0.0
Roberto Trasarti,1,46,11,0.0
Robi Studios,2,2406,554,2.2249999999999996
Robin Vencel,1,201,5,0.0
"Robin, Alice, Julia and George",1,19,5,4.02
Robit Games,2,271,54,2.665
RoboDev,1,13,13,0.0
Robot Circus,1,104,10,21.05
Robot Entertainment,5,42559,5874,9.268
Robot Games,1,11,6,4.37
Robot Gentleman,3,28982,3153,4.723333333333334
Robot Invader,2,524,129,0.765
Robot Loves Kitty,2,1302,514,5.145
Robot Riot UG (haftungsbeschränkt),2,596,167,4.220000000000001
"Robot Squid, Spilt Milk Studios Ltd",1,7102,1876,2.67
RobotKSR,1,5,4,0.0
RobotPumpkin Games,1,120,58,1.87
Robotality,2,2396,776,8.684999999999999
Robotizar Games,3,41,8,0.0
Robotronic Games,1,2658,856,21.77
Robson Paiva,1,192,24,0.28
Rock Cow Productions,1,6,3,0.0
Rock Crow,1,86,139,0.33
Rock Interactive,1,9,2,0.0
Rock Nano Global,1,104,11,0.0
Rock Paper Games,1,14,115,0.0
Rock Pocket Games,2,2201,645,4.8
Rock Square Thunder,1,42,16,0.15
Rock Wale,1,438,110,1.83
"Rock Wall Games, LLC",1,267,56,1.37
Rockbee,1,132,105,7.78
Rocket Bear Games,1,2767,190,6.83
Rocket Cola Studio,1,102,65,0.63
Rocket Jump,1,253,48,3.7
Rocket Jump Technology,1,87,43,0.0
Rocket Monster Games,1,3,0,0.0
Rocket Rat Games,1,379,4,11.95
Rocket Tech,1,0,1,0.0
Rocket Tiger Studios,1,26,9,1.92
Rocket Vulture,1,152,32,3.78
RocketPunch Games,1,2168,445,4.42
"RocketSnail, SkyVu",1,289,39,0.2
RocketWerkz,4,40789,14177,35.65
Rocketcat Games,1,164,56,1.48
"Rocketcat Games, Madgarden",1,8712,673,9.05
Rocketeer Games Studio LLC,1,536,361,48.67
"Rocketeer Games Studio, LLC",4,5602,3875,1.575
Rocketship Park,1,49,5,0.0
Rockgames,1,280,84,0.0
RockingDyde!,1,2,0,0.0
Rockodile,1,422,44,3.2
Rocksoft Ltd,1,7,1,0.0
Rockstar Games,6,848583,79330,30.051666666666666
Rockstar New England,1,30730,5604,13.72
Rockstar North,3,1745417,252716,81.55
Rockstar North / Toronto,1,7524,2647,0.0
"Rockstar North, Rockstar Toronto",1,144493,30691,32.48
Rockstar San Diego,1,843,115,4.68
Rockstar Studios,1,49420,7656,14.48
Rocksteady Studios,5,264620,22121,13.76
"Rockwell Studios, LLC",1,170,68,3.15
Rocwise Entertainment,1,203,248,0.93
Rodeo Games,1,589,258,11.33
"Rodeo Games, Twistplay",1,801,368,13.22
Rodrigo Banzato,1,35,17,0.0
"Roel van Beek, Jurgen Hoogeboom, Joppe de Graaf, Jesper van den Ende",1,541,78,0.18
Roencia,1,26,2,0.0
Roenko Games,1,709,185,3.13
Roest,1,166,65,0.0
Roew Rewk,1,10,6,0.0
Rogalik,1,181,23,0.0
Roger Barton,1,81,40,0.52
Roger Kaffer,1,62,2,0.0
"Roger Kaffer, Sky Hawk Bressette",1,17,3,0.0
Rogerty,1,13,3,0.0
Rogue Earth LLC,1,48,49,0.4
Rogue Entertainment,3,1006,175,4.1466666666666665
Rogue Factor,2,7282,3656,16.605
Rogue Moon Studios,1,254,61,6.2
Rogue Planet Games,1,59598,14096,44.48
Rogue Rocket Games,1,37,7,4.88
Rogue Snail,2,6399,471,3.24
Rogue Sword: Strategy & Adventure Games,1,53,9,1.2
RogueWare,1,73,21,0.0
Rogueside,2,2964,318,2.37
"Rogueside, Claeysbrothers",2,8279,603,6.265000000000001
"Rohaan Siddiqui, Dhairya Khara",1,4,2,0.0
"Rohan Narang, Ratalaika Games S.L.",2,114,15,0.0
Rokabium Games,1,54,6,0.0
Rokas,1,52,13,0.0
Roley Games,1,0,1,0.0
Roll Mops Interactive,1,7,0,0.0
Roll7,3,3846,517,5.873333333333334
"Roll7, CE-Asia, 505 Games",1,1309,330,2.62
"Roll7, General Arcade",1,679,185,1.82
Rolling Cat Studio,2,83,10,0.0
Rolling Crown,2,315,50,0.0
RollingPangda,1,2,0,0.0
RollingStarStudios,1,1,2,0.0
Rollman team,1,6,2,0.0
Romain Bourbon,1,0,2,0.0
Romain Salha,1,6,1,0.0
Roman Chumak,1,18,2,0.0
Roman Kondratkov,1,1,1,0.0
Roman Kozhukhov,1,99,9,3.47
Roman Pak,1,45,13,0.0
Roman Shuvalov,2,151,55,0.0
Roman Uhlig,1,253,35,2.18
Romantic Room,1,152,169,1.72
"Romenics, Artaani, Riya",1,450,240,8.38
Romero Games,1,2840,3174,15.98
Romero Games Ltd.,1,233,46,7.83
Romulus,1,42,17,0.0
Roni Games,1,6,2,0.0
Ronimo Games,4,24422,4877,7.015
Ronin SoftWork,1,330,103,1.43
Roofkat,1,10,1,0.0
Rooftop Panda,1,76,9,3.43
Rookbird Games,1,2,0,0.0
Rookie Hero Games,1,3,10,0.0
Room 8 Studio,1,74,23,6.08
Room-C Games,1,252,99,3.05
Room122,1,4,3,0.0
Room710Games,5,5882,1570,2.084
RoomsForRockets,3,162,32,0.0
Roope Tamminen,2,2256,159,4.03
Roost Games,1,2491,353,8.52
Rooster Teeth Games,2,9506,2301,4.965
RootSerious,1,6,0,0.0
Rooted Concepts,1,229,76,4.08
Rootless Studio,1,1134,320,5.05
Rootpew,1,940,272,1.5
Rootton Endeavours,1,1,1,0.0
Roppy Chop Studios,3,111,24,0.5766666666666667
RororoGame,1,2,0,0.0
Rory Lambert,1,4,0,0.0
Rosa Special Studio,1,30,38,0.0
Rosario Puche,1,24,9,0.0
Rose City Games,1,263,61,3.58
RosePortal Games,5,570,295,2.212
Rosebud Games,1,537,256,2.53
Rosen Studio,1,19,44,0.0
RosenX Studios,1,2,0,0.0
Roshan Nowshad,1,108,5,0.0
Ross Edgar,1,17,13,3.88
"Ross Winters, Austin Pinzon, Adrian Lannon, Ana Beltran, David Almaguer, Ryan Rosado, Chris Perry, Emily Bannister, Nicolas Kemball-Cook, Doug Fialko, Joel Arroyo",1,9,2,0.0
"Ross Winters, Jesse McNamee, Brianne Ball, Roberto Uribe, Jonathan Tope, Connor Breeding, Ricardo Maldonado, Alexander Powell, Felipe Sanchez, Frances Rosa-Martir, Robert Dixon, Dominic Mercado, Kevin Parker",1,9,6,0.0
"Rossiya Segodnya, RIALAB",1,48,34,0.0
Rostislavs Lihacs,1,1,3,0.0
Rotateam,1,224,23,1.68
Rotatipyra,1,112,84,4.02
Rotospace Studios Inc.,1,4,1,0.0
Rotten Mage,1,43,1,0.45
Rouge Brick,1,16,5,0.0
Rouhana,1,12,4,0.0
RoundTable Games Studio,2,14,1,0.0
Route 59,1,1108,226,2.48
Rovango Studio,1,34,7,0.28
Rovio Entertainment Ltd,1,490,54,5.45
RowlesCorp Studios,1,27,6,0.0
Roxiano Creations,1,45,10,0.0
Roxy Constantine,1,188,89,0.0
Roy,1,12,7,0.0
Royal Deal Games,1,80,74,3.92
Royal Donut,1,7,3,0.0
Royal Games Studio,1,3,4,0.0
Royal Rudius Entertainment,1,2174,1909,12.2
Royal Troupe,1,753,118,0.0
Royce Charles Fernandes,1,12,1,0.0
Rpg Adventures,1,11,19,0.0
Rpics Studio,1,10,1,0.0
RuVe Game Studio,1,40,33,8.3
Ruairi,1,2,2,0.0
Ruari O'Sullivan,1,198,34,0.0
Ruaz.404,1,6,27,0.0
RubberBandGames,1,26141,799,16.17
Rubeki Games,2,109,18,0.0
Ruben Alcañiz,1,31,25,0.0
Rubicon Development,2,197,60,13.434999999999999
Rubycone,2,678,383,4.075
Rude Ghost,2,197,43,0.965
"Rudolf Kremers & Alex May, Tuna",1,725,84,3.15
Ruffian Games,1,28,11,0.0
Rukas Skirkevicius,1,16,16,3.97
RumR Design,1,565,73,0.0
Rumata Lab,1,32,17,0.0
Rumbic Inc,1,3,2,0.0
Rumbic Studio,1,20,11,0.0
Rumbora Party Games,1,186,48,2.8
Ruminant’s Whimper,1,218,26,1.98
Rumly,1,1,0,0.0
Rumme Games,1,22,2,0.0
Rumor Games,1,13,3,0.0
Rumpus,2,603,117,1.975
Run and jump games,2,46,5,0.51
RunAroundGames,1,40,32,0.0
RunServer,4,536,244,2.9975
Rune Skovbo Johansen,2,636,45,0.0
RuneHeads,2,329,227,3.015
RuneStorm,4,29571,3030,4.3725000000000005
Runeforge Game Studio,1,3230,674,18.8
Runewaker,1,580,269,9.45
Runewaker Entertainment,1,967,445,2.73
Runic Games,3,52082,4458,14.023333333333333
Runner Duck,2,15117,2535,5.715
Runnex Technology,1,189,58,0.0
Running Hoffman,1,132,8,0.0
Running With Scissors,4,136929,8736,6.035
RusWorld,1,3,1,0.0
"Rushil Reddy, Christiane Snyder",1,5,5,0.0
"Rushil Reddy, Priyam Parikh, Ken Watanabe",1,37,16,0.15
Rusimitu,1,1,0,0.0
Ruskatuli,1,348,28,0.17
Ruskija Game Experience,2,93,21,0.0
Ruskija game experience,2,40,22,0.0
"Ruskija game experience, Valkeala Software",1,11,10,0.0
Russell Variedalia,1,2,1,0.0
Russian Implant Games,1,2,0,0.0
Russian Pirates,1,21,62,0.0
RussianDEV,1,24,36,0.02
Rustic Fantastic,1,36,32,0.0
Rusty Lake,7,53444,1931,5.511428571428572
"Rusty Moyher, Shaun Inman, Matt Grimm",1,331,87,2.73
Ruxar,2,264,53,1.61
Ryan Bell,1,0,3,0.0
Ryan Bissonnette,1,2,0,0.0
Ryan Jensen,2,39,26,4.949999999999999
Ryan Laley Games,1,44,22,0.0
Ryan Olah,1,48,1,0.0
Ryan Saunders,1,154,28,5.37
Ryan Silberman,3,53,34,2.83
Ryan Wheeler,1,5,1,0.0
Ryan up in here,1,53,35,0.35
Rymentz,1,26,5,0.0
Rynder Games,1,2,0,0.0
RyseUp Studios,1,20701,988,16.43
Ryu Ga Gotoku Studio,9,164819,11012,43.465555555555554
Rémi Adriano,2,107,15,0.0
Rückert Broductions,1,208,53,1.05
S H B studio,1,6,10,0.0
"S Houben, N Tailor, A Barnett",1,29,28,0.02
S&COR Games,1,125,112,0.63
S-Game,1,119,30,0.0
S.A. DigiWorks,1,3,5,0.03
S.A. Digiworks,1,1,4,0.0
S.C. 16 BIT NIGHTS S.R.L.,2,1232,437,1.715
"S.E.R.A. STUDIO 3D, DX Gameworks LLC",1,28,5,0.0
S.T-Brothers,1,2,4,0.0
S.T.T,1,116,42,0.0
S.Y. GAMES,1,30,25,0.0
S1T2,1,37,13,0.0
S2 Games,1,3730,1142,4.27
"S2 Games, LLC",1,815,617,38.18
SAARSE,2,11,2,0.0
"SAG, SAG",1,9,1,0.0
SAGENCY,1,113,104,0.12
"SAINT-FUN INTERNATIONAL CO., LTD.",1,391,191,3.27
SANDLOT,2,19720,1097,57.06
SAT-BOX,2,74,58,0.46499999999999997
SB Games World,1,4,2,0.0
SBM Games,1,15,3,0.0
SBN3,1,6720,323,3.42
SC Games,1,1,0,0.0
SC Jogos,9,10317,2917,4.082222222222223
SC.Wu,1,1,3,0.0
SCAD Students &amp; Faculty,1,10,2,0.0
SCOREWARRIOR LIMITED,1,35,35,0.0
SCP: Escape Together development team,1,2312,1251,0.0
SCS Software,15,1025220,30886,16.299333333333333
"SCS Software, Sunstorm Interactive",1,148,22,0.38
"SCS Software, Sunstorm Interactive, Inc.",1,61,7,0.0
SCT,3,2195,1069,11.416666666666666
SD,3,632,170,1.8333333333333333
SD studio,1,64,25,0.0
SDC Ventures,1,2,2,0.0
SDEnterNET,1,494,240,757.72
SDEnterNet,1,619,771,1.08
SDF games,1,19,8,0.0
SDP Games,1,533,216,3.48
SEAStoriesStudio,1,34,30,0.0
SECRETSOF,1,10,1,0.0
SEEC Inc.,1,341,9,6.37
"SEEDGAMES Co., Ltd.",1,41,56,0.0
SEEP,5,451,73,1.844
SEGA,39,70752,16220,3.7805128205128207
SEGA Studios Australia,1,3556,365,3.42
SEKTOR GAMES,2,44,18,0.0
SEMISOFT,1,316,136,4.32
SERIALGAMES Inc.,1,12,0,0.0
SERIOUS*IMPACT WORKS,1,46,51,18.9
SEROSOO,1,1291,106,106.1
SES,1,1,2,0.0
SF DevTeam,1,2,12,0.0
SF team,1,227,333,26.63
SFB Games,3,8920,610,3.046666666666667
SG Data,1,150,72,0.57
SG+T,1,2,0,0.0
SGS Team,2,75,55,4.125
SGStudio Games,1,17,10,0.0
"SGTTB_Studios, Phanom Games",1,37,55,5.03
SHADE Inc.,2,745,183,4.285
"SHEN JIAWEI, ZHANG FAN",1,31,20,0.0
SHIBAPOWER,1,74,7,0.0
SHIBO GAMES,1,24,3,0.0
SHIFT UP Corp.,1,14,3,0.0
SHN Games,1,642,20,15.02
SHOGUN GAMES,1,17,9,0.0
SHOKIZM INTERACTIVE,1,13,0,0.0
SIEIDI Ltd,2,183,209,2.645
SIENTURE,2,2,3,0.0
SIG Publishing,1,39,31,0.55
SIGONO INC.,4,11479,696,2.1574999999999998
SIM720 LIMITED,1,100,39,0.87
SIMAGINATION,1,55,15,0.0
SIMPRA ORG,1,16,1,0.0
SIMSREALITY,1,9,14,0.0
SITER SKAIN,3,510,64,1.76
SIXNAILS,1,52,5,28.2
SK Games,1,1,0,0.0
"SKIPMORE, ESQUADRA,inc.",2,339,34,6.825
"SKIPMORE, Kan.Kikuchi",1,98,35,0.0
SKY HOUR WORKS,1,378,69,0.0
"SKY HOUR WORKS, Anarch Entertainment",1,96,16,0.0
SL,1,0,2,0.0
SLASH,1,13,0,0.0
SMAC Games,1,458,202,1.55
SMD Gaming Studio,1,16,4,0.0
SMG Studio,4,32111,8016,3.8899999999999997
"SMG Studio, Devm Games",1,1789,480,2.68
SMILE,1,1457,56,10.63
SMU Guildhall,6,1461,205,0.0
SNK CORPORATION,4,18049,3963,17.1225
"SNK CORPORATION, Abstraction Games",2,3971,950,7.22
"SNK CORPORATION, Code Mystics",7,10028,931,20.685714285714287
"SNK CORPORATION, Dotemu",8,12520,1678,3.7225
SNK Games,1,58,49,12.12
"SNK Games, Elemental Games, Katauri Interactive",1,6289,377,50.85
SOCKO! Entertainment,1,141,44,2.28
SOCO Games,1,32,29,3.45
SOEDESCO,2,121,64,7.45
SOF Studios Ltd,1,650,435,11.88
SOFF Games,1,6433,3857,11.07
SOFTON ENTERTAINMENT,2,168,186,8.25
SOFTSTAR ENTERTAINMENT,6,5475,474,7.378333333333334
SOFTSTAR TECHNOLOGY(BEIJING),4,1548,1436,5.297499999999999
SOFTSTAR TECHNOLOGY(SHANGHAI),2,1926,375,21.66
"SOFTSTAR, DOMO Studio",1,5949,3535,11.37
SOLIDS Studio,1,21,0,0.0
SOMG,1,50,39,0.32
SOMOV KIRILL,1,1,2,0.0
SONNORI Corp,2,3309,790,2.735
SOUTHPAW GAMES,1,51218,3683,39.97
SP Digital Arts Inc.,2,405,113,4.04
SP GAMES,1,54,14,0.0
SP-time,2,1619,412,4.65
SPARK Games,2,37,11,0.0
SPARSE//GameDev,2,927,28,0.75
"SPECIAL MAGIC GAMES, LLC",1,166,9,0.22
SPECTRUM GAMES,2,389,133,2.565
SPECTRUM48,1,73,13,0.0
SPG (Stuart's Pixel Games),1,24,0,0.0
SPG Mistarille,1,340,110,3.82
SPLine,1,21,12,0.4
SPS,1,5,8,0.0
SPVD,1,259,104,2.68
SPokDev,1,2,0,0.0
SQGAME,1,2,6,0.0
SQUARE PHOENIX,1,0,1,0.0
SRA Games,1,3,2,0.0
"SRCS, EDGE-GAMES",1,1,0,0.0
SRD TEAM,1,5,2,0.0
SRN Game Studio,1,12,3,0.0
SRS Games,6,850,245,0.0
SRV-game,1,17,4,0.0
SSCTEAM,1,176,89,4.78
SSP Games,2,27,9,0.0
ST.Games同人游戏社团,1,7,1,0.0
STDIO_934,1,1,1,0.0
STGamz,1,0,2,0.0
STOIC Entertainment,1,0,1,0.0
STRAIGHT ON 8,1,2,6,0.0
STUDIO EBANS,1,2,3,0.0
STUDIO HG,1,62,12,0.23
STUDIO N9,1,903,241,19.73
STUDIO WASABI,1,383,135,0.0
STWM,1,2,3,0.0
SUNCYAN studio,1,2164,217,41.33
SUNSOFT,1,23,4,0.0
SUPERCORE Games,1,40,7,0.0
SUPERHOT Team,3,53185,7855,4.3500000000000005
SUPERSCARYSNAKES,1,527,204,1.28
SUPERWAVE STUDIO,1,150,74,4.6
SUSHI TYPHOON GAMES,1,27,28,6.62
SVGames,2,109,57,0.85
SVSdGAMEs,1,8,7,0.0
SWDTech Games,1,58,24,0.0
SYNERGY,2,32,19,0.0
SZEINER,2,17,10,0.0
SaFiKiK,1,54,33,0.0
Saber Fight VR,1,114,61,0.53
Saber Interactive,9,80633,9770,13.69111111111111
Saber Interactive Inc,1,21657,4401,38.53
"Saber Interactive, Redemption Ark",1,315,202,28.32
Sabi Games,1,10,3,0.0
Sabotage,1,11059,801,11.3
Sabrina Aridi,7,200,332,0.7685714285714286
Sacada,4,468,108,108.8675
Sacit Polat,1,1,2,0.0
"Sacred Star Team, MirageV",1,3,0,0.0
SacriFACE Studio,1,101,10,0.15
Sad Doge,1,1959,232,22.77
Sad Panda Studios,2,30560,3881,76.01
Sad Productions,1,2,1,0.0
Sad Socket,1,3863,255,7.27
Sad Spaghetti Entertainment,1,658,22,3.42
Sad Viscacha Studio,1,1620,248,0.0
SadSquare Studio,1,8368,1453,5.47
Sadetta,1,426,28,1.52
Sadillac,1,2,0,0.0
Saga Planets,1,1845,60,13.95
Sageose,1,9,3,0.0
Saibot Studios,4,2913,699,2.38
Saikono,1,2072,97,1.0
"Saikono, Sokarev",1,18916,692,7.17
SailingStudio,1,2,2,0.0
Sailors Moon Studios,1,333,82,0.28
SaintHeiser,9,330,137,0.0
SaintXi,1,36,9,9.07
Saintly Games,1,3,0,0.0
Sakana Studios,1,629,43,29.07
Sakari Games,3,411,246,1.21
Sakura Mangekyou,1,138,24,2.85
Sakura River Interactive,2,125,72,7.065
Saladite Games,1,9,1,0.0
Salamandra88,4,677,95,3.92
Salangan Games,1,622,88,5.53
Sally Forth,1,12,3,0.0
Salman Shurie,1,12,3,0.0
Salmi Games,2,148,19,10.18
"Salmon Snake Games, Elmo Mustonen, Hanuli",1,25,2,0.0
Salo,1,348,240,0.0
Salsawi,4,53,82,0.037500000000000006
Salt & Pixel LLC,2,6,2,0.0
SaltyEgg Studio,1,9267,1489,132.0
Saluda Systems,1,31,20,0.0
Salvatore Cappellino,1,17,0,0.0
Sam Atlas,3,132,23,0.7000000000000001
Sam Barlow,1,8718,1014,3.4
"Sam Barlow, Half Mermaid, Furious Bee Limited",1,786,445,6.97
Sam Enright,1,97,10,0.0
Sam Ghalili,1,4,1,0.0
Sam Vallely,1,120,16,0.0
Samer Khatib (Snowconesolid Productions),2,807,193,0.265
"Sami Maaranen (creator), Erkka Lehmus (co-designer)",1,1230,83,19.53
Sammio the Hammio,1,3,2,0.0
Sammy,1,1,0,0.0
Samobee Games,2,416,181,1.0
Sample Text Studio,1,2239,242,0.0
Samu,1,388,24,0.0
Samuel Manier,1,278,28,3.93
Samuel Sales Gomes,1,5,0,0.0
Samuel Sprague,1,7,16,0.0
Samuka Gomes,1,2,3,0.0
Samurai Games,2,1668,418,124.83500000000001
"Samurai Monkeys, ESAT",1,3,1,0.0
Samurai Punk,3,2162,241,3.3466666666666662
SamuraiGames,1,16,5,0.0
Samwise Austin,1,2,0,0.0
"Sanan Ahmed, Rohan Ahmed",1,2,3,0.0
Sanctum Games,1,11658,290,4.7
Sand Sailor Studio,2,1501,497,2.435
SandVUE,1,41,27,0.13
Sandbank Studios Ltd,1,7,11,0.0
Sandbox Games,1,59,146,0.62
Sandbox Interactive GmbH,1,65583,17491,110.22
"Sandbox Network, Inc.",2,86,32,0.0
Sander Bos,2,73,18,0.0
"Sander Juss, Liisa Lvova",1,2,1,0.0
Sandlot Games,2,72,24,2.5
Sandor Berczi,1,6,1,0.0
SandorHQ,1,234,21,7.18
Sandspire Interactive,1,54,56,0.0
Sandstorm Studios Inc.,1,1562,297,3.4
SandwichStudio,1,17,2,0.0
Sang Hendrix,1,42,16,0.0
Sangwoon Jin,1,32,13,0.0
"Sansar, Inc",1,323,293,0.0
Santa Claus Games,1,5,1,0.0
Santa Goat,1,15939,425,35.18
"Santa Monica Studio, Jetpack Interactive",1,151706,6311,27.58
Santa Ragione,3,1181,454,2.0733333333333333
Santima Games,1,22,7,0.0
Sanuk Games,6,754,367,1.7283333333333333
Sanzaru Games,1,54,7,1.8
Sanzaru Games Inc.,1,331,83,0.95
Sapphire Create.,2,46,13,0.0
Sapphire Dragon Productions,10,915,354,1.6
SaraJS,1,279,40,1.23
Saradoraon,1,6,0,0.0
"Sarah Russell, Jonathan Dana",1,20,1,0.0
Sarah Werum,1,3,0,0.0
Sarah Willsteed,1,4,4,0.0
Sarbakan,1,64,19,9.17
Sardinha Studios,1,9,2,0.0
Sarepta studio,1,124,42,1.88
"Sarepta studio, Teknopilot",1,1347,83,3.97
Sargonius Games,1,24,10,0.0
Saritasa llc,1,10,2,0.0
Sarper Şoher,1,13,1,0.0
SarumXR,1,99,3,0.0
Sasasoft,1,7,1,0.0
Sascha Hartleb,1,8,7,0.0
Sascha Klenk,1,32,7,0.0
Sasha Darko,1,22,21,3.42
Sassybot,2,1642,215,8.675
"Sastrei Studios, LLC",1,6192,2531,182.47
Sat-Yuga Studios,1,6,0,0.0
Sat.Ind,1,5,4,0.0
Sateda,1,294,82,0.0
Satosha Nakamoti,1,980,508,6.32
Satria_Games,1,14,9,0.0
Satsu,1,802,60,7.85
Satur Entertainment,3,319,110,0.37666666666666665
"Saturday Development, LLC",1,16,0,0.0
Saturn VR,1,22,4,0.0
"Saturn VR, NipsApp Gaming Software ",1,83,12,0.0
"Saturn-plus, Orion",1,52,68,3.08
Saucisson,1,29,17,0.12
Sauropod Studio,2,6574,3671,5.21
Save All Studio,1,840,267,2.4
Savepoint Studios,1,16,9,0.0
SavySoda,1,2008,724,19.48
SawyerK Games,1,461,66,0.5
Sayuri Artsy,1,41,7,0.0
Sbug Games,1,13512,326,4.97
Scalding Soup Studios,1,5,1,0.0
Scalpel Softworks,1,108,54,0.0
Scarab Entertainment,1,117,39,0.0
Scarlet String Studios,1,851,112,0.42
Scarlet Whale,1,1,1,0.0
Scary Bee LLC,2,1110,360,529.895
"Scary Creepy Pasta, Anime Girl Studio",1,8,10,0.0
ScaryPotato,1,15,7,0.0
Scavengers Studio,1,14978,3410,3.97
Scenario Software,1,18,15,0.0
Schell Games,9,7937,592,1.768888888888889
Scheme Street,1,126,7,10.0
Schickmair Games,1,27,4,0.0
Schine GmbH,2,2024,956,7.14
Schirwindt,1,8,6,0.0
Schism,1,6,0,0.0
SchlawutzCo extreme gaming,1,3,0,0.0
Schmidt Workshops,4,317,63,0.5125
SchmidtGames,1,96,27,0.0
"Schoolfield Games, LLC",1,125,52,6.52
Schrolab,1,283,42,2.3
Schulenburg Software,1,139,42,0.82
Schwarz Games,1,178,276,0.73
Science: Gamed,1,7,5,0.0
Scientifically Proven,1,364,252,3.52
Sciman101,1,73,15,0.95
Scolaro Games,1,481,45,0.0
"Scorching Castle, Linno",1,54,19,0.0
Score Studios LLC,2,254,23,5.25
ScoreboardGames,1,40,12,0.0
Scoria Studios,2,20,10,0.0
Scorpiniti Bruno,3,32,2,0.0
Scorpius Games,2,169,71,0.265
Scott Cawthon,8,188714,12839,3.5
Scott Ethington,1,26,4,0.0
"Scott Grambo, Ross Grambo",1,12,10,0.0
Scott Host,1,405,155,2.22
Scott Howarth,1,13,1,0.0
Scott McClusky,1,15,0,0.0
Scraping Bottom Games,1,889,243,1.78
Scream CORP,1,6,3,0.0
Scream In To Void,1,4,0,0.0
Screaming Villains,3,223,46,0.7000000000000001
Screaming Void,1,144,29,0.0
Screenhit Studios,1,93,16,0.0
"Screeps, LLC",2,1814,267,30.365
Screwfly Studios,4,559,257,4.5575
Screwtape Studios,1,61,17,0.0
Screwy Lightbulb,2,128,48,0.96
ScrubbySquirrel,1,15,4,0.0
Scuffed Development,1,4380,447,0.0
Scumhead,3,1928,177,0.64
"Scumhead, Mengo",1,773,62,0.0
Scythe Dev Team,2,2119,177,2.13
Scythuz,1,5,10,0.82
Sdus Games,1,2,1,0.0
Sea Beast Productions,1,29,10,4.18
Sea Green Games,1,25,15,1.33
SeaPuppy Studios,1,3,0,0.0
Seaborgium Entertainment,1,11,5,3.05
Seacoxx,2,350,44,1.1
Seafloor Games LLC,1,113,11,0.0
Seafront Games,1,1117,125,63.75
SealDev,1,895,4,0.2
Sealtail Studio,1,286,30,1.82
Sean Adair Entertainment,1,1,7,0.0
Sean Arnold,1,97,7,0.0
"Sean J. Miller, Brenda J. Miller, Connor H. Miller",1,1,0,0.0
Sean Marty,2,8,1,0.0
Sean Mombourquette,1,6,0,0.0
Sean Noonan,1,19,1,0.0
Sean O'Connor,2,378,50,21.625
Sean Robbins,1,6,1,0.0
Sean Tann,1,315,11,2.23
Sean Walsh,1,4,1,0.0
Sean Young,3,15668,2293,16.646666666666665
Seared Entertainment,1,1,1,0.0
SeasonQuest,1,12,2,0.0
Seasonbean Team,1,7,6,0.0
Seasun Games,1,170,50,2.52
Seaven Studio,2,557,154,2.58
Sebastian Fitt,1,68,53,0.0
Sebastian Groll,1,58,23,5.75
"Sebastian Krzyszkowiak, Konrad Burandt, Paweł Radej",1,291,65,24.95
Second Avenue Learning,3,1,2,0.35000000000000003
Second Dimension,1,5,0,0.0
Second Order,1,182,81,1.72
Second Reality,1,39,32,0.0
Second Sky Entertainment,1,1,0,0.0
Second Variety Games,1,41,3,0.05
Second Wind Interactive,1,185,63,1.77
SecondFox,1,44,7,0.0
Secret Base,2,186,104,2.035
"Secret Base, Ratloop Asia",1,194,46,0.43
Secret Cow Level,1,121,38,0.0
Secret Exit Ltd.,2,5832,451,6.0
Secret Forest Games,1,5,0,0.0
Secret Lab 72,1,19,5,0.0
Secret Labo,4,1693,562,2.8449999999999998
Secret Level SRL,1,178,83,0.68
Secret Location Inc.,2,438,60,3.58
Secret Society Games,1,54,26,4.33
Secret Sorcery Limited,1,169,39,0.67
Secta,1,89,4,0.0
Section Studios,2,3174,1818,1.615
Sector D2,1,18028,1189,13.53
Sector3 Games,1,68,47,11.32
SeeThrough Studios,1,68,33,3.35
Seed by Seed,1,87,5,1.35
SeedBolt Studios LLC,1,60,9,0.0
SeedWall,7,4620,674,0.21857142857142858
SeekSick6,1,139,18,0.0
Seemingly Pointless,2,54,25,0.0
Seen Games,1,8916,837,3.88
"Seen in a Dream, KLURA Design",1,2,1,0.0
Seenapsis Studio,1,152,75,5.07
Seenchan Game,1,9,0,0.0
Seespace Labs,1,11,2,0.0
SegFault Games,1,35,8,0.0
SeithCG,1,4498,405,7.03
Seito Games,2,189,24,0.0
Sekai Project,1,1359,77,16.8
SekaiFrieden,1,673,112,28.25
Sekerin Productions,2,302,445,4.25
Sektan,2,62,19,0.0
Sekushi Usagi Games,1,10,2,0.0
Seldom Ludious,1,208,30,0.0
SelenaJ,1,2,18,0.0
Selenion Games,1,14,10,5.57
Self Made Miracle,1,339,64,2.62
Self-Developed,1,14,2,0.0
SelfCrop Studio,1,1415,56,5.85
Selfparadise,1,2,1,0.0
Selva Interactive,1,58,13,0.4
