desenvolvedor,total_jogos,avaliacoes_positivas,avaliacoes_negativas,tempo_medio_jogado
AJ Ordaz Games,1,17,5,0.0
AJRPG,1,24,9,6.02
AK Games,1,133,54,1.6
AK Studio,5,436,169,0.6639999999999999
AK84C,1,42,19,2.72
AKABEiSOFT2,1,645,50,28.58
AKATSUKI-WORKS,3,1448,106,17.796666666666663
AKGames,1,87,42,0.48
AKIYAM,1,7,11,0.0
AL Games,1,5,4,0.0
AL-GAME,2,92,103,1.935
ALEKSANDER CHEPAIKIN,2,105,50,0.415
ALFAGAME,1,370,17,0.0
ALFINA GAMERS,1,326,66,0.0
ALICE IN DISSONANCE,3,6060,347,4.25
ALIEN studio,1,106,32,0.0
ALLAF GAMES,1,193,58,0.0
"ALLM Co., Ltd.",1,3478,1074,28.65
ALPHA-NEXT,1,32,64,1.27
ALPHAWING Inc.,1,872,122,4.23
ALPHY,1,1,0,0.0
ALTAR Interactive,1,173,60,22.12
ALTARI GAMES,1,4651,777,5.67
ALTER-BOY,1,53,19,1.12
"AMA, Mando Productions",1,21,14,0.0
AMATA Games,1,93,27,0.0
AMAX Interactive,2,22,20,0.0
AMG GAMES,3,274,15,0.3566666666666667
AMIDEA Games,1,14,20,0.02
AMILUX Film,1,3,2,0.0
AMPLITUDE Studios,6,72547,19239,20.31
AMPro,1,9,3,0.0
AMT Games,1,127,146,0.0
"AN Productions, Poxpower",2,10928,655,52.224999999999994
ANDREI MURASHKEVICH,1,6,4,0.0
ANFWorks,1,7,3,0.0
ANG People s.r.o.,1,37,10,0.0
ANIM•ACE,1,69,10,0.0
ANV Team,2,127,94,0.5700000000000001
AO2Game,1,40,24,3.8
AOTMGUFHCMRIGUDNOE,1,25,14,0.0
AP Thomson,1,136,16,6.4
APAS games,1,6,0,0.0
APGal,1,9,1,0.0
"APLUS Co., Ltd",1,1047,307,7.52
AQGames,3,49,27,0.0
AQUAPLUS,3,3695,219,35.00666666666667
AQUASTYLE,3,2023,217,4.716666666666666
AQUIRIS,1,5218,390,6.92
AQURIA,1,5999,1572,19.73
"AQURIA Co., Ltd.",2,5709,3094,16.535
"AR Glimpse, LLC",2,13,4,0.0
AR-BRIDGE,1,19,33,0.0
ARC SYSTEM WORKS,2,261,85,9.5
"AREA 35, Inc.",2,335,108,0.30000000000000004
AREAZERO,1,191,24,3.6
ARES Inc.,1,296,55,1.95
ARGames,9,136,260,0.05777777777777778
ARIKA,1,561,108,0.52
ARLOOPA Inc.,1,0,1,0.0
ARMS,1,3,5,0.0
ARQUOIA,1,11,9,0.0
ARTDINK,6,329,138,1.3216666666666665
ARTDINK CORPORATION,1,846,295,7.97
ARTIFACTS,1,54,43,0.0
"ARTillery, ARTillery Studio",1,149,12,0.0
ARVORE,2,225,34,0.19
AS.DAY Studios,1,12,2,0.0
ASA Games Studio,1,30,13,0.0
ASA Studio,1,42,17,0.4
ASBO Interactive,2,254,75,0.135
ASGAME,2,6,5,0.0
ASGames,1,1,4,0.0
ASK Homework,1,365,546,4.57
ASK_GAMES,1,224,105,1.57
ASTRO PORT,6,813,187,2.0933333333333333
ASTRUM LAB,1,1082,585,182.5
ASTXRIAL Works,2,829,155,2.72
"ASUS GLOBAL PTE. LTD, Moonshine Creation CO., LTD.",1,439,189,0.0
ASa Project,1,237,13,2.83
ATC Games,2,164,48,0.36
ATD,1,1,0,0.0
ATLUS,4,103010,6098,27.1375
ATMODEPTH,1,1,0,0.0
"ATOMIC BREATH, FraZack",2,82,25,0.0
ATTACK MOUNTAIN,1,25,8,3.18
ATYPIQUE studio,1,104,22,0.0
ATi Studios A.P.P.S. SRL,1,31,28,0.0
AURORA Games,1,4526,3255,7.45
AUX-IN Games,1,33,9,0.0
AV media lab,1,26,1,0.0
AVANTGARDE,2,519,104,6.609999999999999
AVE,1,42,57,7.02
AVE Team,1,7,3,0.0
AWE Games,1,78,46,0.0
AXC GAMES,1,811,1001,5.97
AYGames,1,756,291,3.83
AZ-Art Development Studio,1,246,100,4.87
AZAMATIKA,4,3625,259,2.4725
AZGames,1,2752,74,2.43
"Aardman Animations, Digixart",1,1699,278,3.4
