data_lancamento,total_jogos,jogadores_simultaneos,avaliacoes_totais,preco_medio
2010-11-22,1,13,9446,0.0
2010-11-23,1,1,159,9.99
2010-11-26,1,36,3802,19.99
2010-11-30,3,73,37047,11.656666666666666
2010-12-02,1,2,1017,5.99
2010-12-03,2,0,1368,2.59
2010-12-07,1,387,7259,4.99
2010-12-10,1,1,545,9.99
2010-12-14,1,19,19977,0.0
2010-12-15,1,3705,36388,0.0
2010-12-17,1,1,93,9.99
2010-12-18,1,0,229,0.0
2010-12-20,2,4,2696,7.49
2010-12-23,1,1,2323,0.0
2011-01-06,2,405,97229,0.0
2011-01-10,1,113,29276,0.0
2011-01-19,2,0,1104,4.49
2011-01-20,2,0,344,12.515
2011-01-21,1,0,44,9.99
2011-01-24,1,0,1184,4.99
2011-01-25,3,103,57427,13.323333333333332
2011-01-26,9,0,131,0.0
2011-01-27,1,1264,32910,19.99
2011-01-31,1,0,168,5.99
2011-02-02,1,3,965,2.39
2011-02-03,1,27,6700,7.49
2011-02-08,1,0,116,0.0
2011-02-10,1,1,834,9.99
2011-02-16,1,1,384,19.99
2011-02-22,1,5,1067,5.99
2011-02-23,2,0,358,3.99
2011-02-24,1,32,4948,9.99
2011-02-25,1,1,710,4.99
2011-02-28,3,6,4408,7.656666666666666
2011-03-01,3,139,13088,4.66
2011-03-02,1,11,4992,9.99
2011-03-04,3,9,6412,0.0
2011-03-08,1,3,1102,0.0
2011-03-14,2,13,14799,12.489999999999998
2011-03-15,2,1807,25116,17.49
2011-03-16,1,1,1227,14.99
2011-03-17,1,0,1511,9.99
2011-03-22,5,568,101482,15.690000000000001
2011-03-24,1,0,192,6.99
2011-03-29,1,6,2555,0.0
2011-04-04,1,3,1038,3.99
2011-04-05,2,32,4074,5.48
2011-04-08,4,78,21736,11.24
2011-04-15,1,4,3302,9.99
2011-04-18,1,1959,433510,9.99
2011-04-19,1,8,1500,0.0
2011-04-20,3,0,515,3.33
2011-04-21,2,5,1107,4.99
2011-04-22,1,10,6451,4.99
2011-04-27,1,0,258,14.99
2011-04-28,1,0,78,1.99
2011-04-29,2,14,4033,4.995
2011-05-03,1,99,13574,9.99
2011-05-04,2,1,2104,4.995
2011-05-06,2,0,5202,0.995
2011-05-09,4,22,11183,3.9925
2011-05-11,1,0,363,11.99
2011-05-12,1,1,981,9.99
2011-05-14,1,0,96,3.99
2011-05-16,2,24581,1411259,5.99
2011-05-19,2,30,9094,7.79
2011-05-20,1,0,46,9.99
2011-05-23,1,0,13,9.99
2011-05-25,1,1,294,0.49
2011-05-26,2,1,2844,15.489999999999998
2011-05-30,1,3,1297,1.49
2011-05-31,1,1,340,0.99
2011-06-01,2,1,1535,7.99
2011-06-06,1,6,4851,19.99
2011-06-07,1,1,136,19.99
2011-06-08,2,27,4296,9.99
2011-06-13,1,24,10992,19.99
2011-06-14,3,369,28516,0.8300000000000001
2011-06-15,2,9,2058,0.0
2011-06-17,2,262,26225,9.99
2011-06-20,2,9,3301,8.49
2011-06-21,4,36,12839,8.49
2011-06-24,2,0,831,7.495
2011-06-30,1,0,1083,1.24
2011-07-13,4,26,11426,5.390000000000001
2011-07-15,1,0,781,4.99
2011-07-18,1,0,136,0.99
2011-07-19,2,1,1261,2.495
2011-07-20,1,0,385,9.99
2011-07-25,3,16,682,18.323333333333334
2011-07-26,1,0,120,9.99
2011-07-27,1,0,654,1.99
2011-07-29,3,13,8623,6.66
2011-08-02,2,82,57451,5.49
2011-08-04,1,18,3424,14.99
2011-08-08,2,10,6774,3.99
2011-08-10,1,0,87,6.99
2011-08-11,1,0,2194,0.76
2011-08-15,2,10,3628,6.49
2011-08-16,1,15,37392,14.99
2011-08-17,2,6,3463,12.49
2011-08-19,2,2,1095,3.115
2011-08-24,3,9,511,9.99
2011-08-26,8,100,5798,4.8025
2011-08-29,1,0,111,19.99
2011-08-30,2,0,1015,5.99
2011-08-31,2,110,2362,7.495
2011-09-01,2,87,12743,9.99
2011-09-05,1,95,30416,39.99
2011-09-07,1,2,3784,9.99
2011-09-08,1,2,1237,7.99
2011-09-13,1,92,37628,2.99
2011-09-15,3,12,911,11.656666666666666
2011-09-16,2,0,239,6.24
2011-09-19,2,1,1025,2.995
2011-09-21,1,0,431,4.99
2011-09-22,1,19,2538,0.0
2011-09-23,1,0,79,9.99
2011-09-26,1,0,2468,1.49
2011-09-27,4,1,807,2.4975
2011-09-28,5,968,83326,8.790000000000001
2011-09-29,1,0,677,4.99
2011-09-30,2,1,629,7.99
2011-10-03,2,34,17562,5.24
2011-10-11,3,46,12407,11.656666666666666
2011-10-12,1,1,615,0.0
2011-10-13,1,111,8890,9.99
2011-10-14,1,4,3901,9.99
2011-10-18,3,285,18190,9.99
2011-10-19,5,3,2377,4.91
2011-10-20,2,38,41651,9.99
2011-10-24,6,7,3279,5.283333333333334
2011-10-26,3,9,5080,8.66
2011-10-27,1,0,743,19.99
2011-10-28,6,3,2224,5.425
2011-10-31,1,0,185,9.99
2011-11-01,1,16,9352,0.0
2011-11-02,2,549,21269,6.495
2011-11-03,1,35,25232,51.79
2011-11-08,2,507,59032,22.990000000000002
2011-11-10,1,1463,317279,19.99
2011-11-14,1,163,68600,9.99
2011-11-15,3,0,3959,4.66
2011-11-16,2,11,2303,2.495
2011-11-17,1,60,12366,19.99
2011-11-18,2,0,146,6.99
2011-11-21,2,2,1421,9.99
2011-11-22,2,112,35359,22.49
2011-11-23,1,0,1094,9.99
2011-11-29,2,104,18262,13.489999999999998
2011-11-30,1,0,91,3.99
2011-12-02,1,22,1650,4.99
2011-12-06,1,111,37292,0.0
2011-12-07,1,143,2704,0.0
2011-12-13,1,1,3988,1.99
2011-12-14,2,12,2348,6.99
2011-12-16,1,0,317,5.99
2011-12-19,1,30,7738,9.99
2012-01-05,2,332,35175,1.995
2012-01-13,4,5,3499,6.24
2012-01-16,1,0,432,14.99
2012-01-17,1,9,2339,9.99
2012-01-19,2,0,447,7.49
2012-01-24,1,3,618,14.99
2012-01-25,2,0,619,3.995
2012-01-27,1,1,501,9.99
2012-01-30,1,2,855,19.99
2012-01-31,2,1118,32813,4.995
2012-02-02,1,1,781,9.99
2012-02-03,2,0,1435,7.49
2012-02-07,2,25,16349,0.995
2012-02-08,2,23,1852,12.489999999999998
2012-02-09,1,19,19772,29.99
2012-02-10,1,0,40,9.99
2012-02-14,2,1375,74046,4.995
2012-02-16,2,165,49310,14.49
2012-02-17,1,7,5296,5.99
2012-02-20,1,1853,46620,0.0
2012-02-22,5,10,11414,4.652
2012-02-24,1,0,1894,4.99
2012-02-27,1,278,9341,0.0
2012-02-28,1,0,296,6.99
2012-02-29,1,0,432,1.99
2012-03-01,3,6,1735,4.756666666666667
2012-03-02,1,0,288,4.99
2012-03-06,1,1,1780,9.99
2012-03-08,1,0,397,9.99
2012-03-14,2,1,1103,1.495
2012-03-15,1,0,48,4.99
2012-03-16,2,2,755,6.99
2012-03-19,1,6,1945,4.49
2012-03-20,1,0,2143,1.99
2012-03-21,3,0,630,3.99
2012-03-22,1,0,974,0.74
2012-03-28,3,0,374,9.99
2012-03-29,3,37,7522,10.656666666666666
2012-03-30,1,4,209,14.99
2012-04-04,1,0,354,9.99
2012-04-05,1,0,748,2.99
2012-04-09,1,0,90,0.97
2012-04-10,1,0,673,14.99
2012-04-11,2,15,7630,6.49
2012-04-12,2,6,1243,3.995
2012-04-16,2,481,89676,13.989999999999998
2012-04-17,1,0,867,14.99
2012-04-18,1,0,221,0.0
2012-04-19,2,0,209,3.99
2012-04-20,1,2,2503,9.99
2012-04-23,3,1,2514,3.66
2012-04-24,1,614,73628,14.99
2012-04-25,1,0,182,1.59
2012-04-26,1,32,6357,9.99
2012-04-27,3,9,11437,8.656666666666666
2012-05-02,1,0,11,0.0
2012-05-04,1,33,1484,14.99
2012-05-07,1,7,6285,14.99
2012-05-08,1,27,2571,24.99
2012-05-10,2,0,753,9.99
2012-05-11,6,14,5373,6.656666666666666
2012-05-15,1,1,2081,4.99
2012-05-16,2,5,267,11.989999999999998
2012-05-17,1,0,105,9.99
2012-05-18,2,10,4696,4.995
2012-05-22,3,52,14779,7.656666666666666
2012-05-24,2,104,5711,2.495
2012-05-25,2,6,5504,22.49
2012-05-28,1,6,1217,6.99
2012-05-31,4,206,61528,17.740000000000002
2012-06-06,1,793,20995,0.0
2012-06-07,1,2,2321,14.99
2012-06-08,1,0,632,0.99
2012-06-12,3,282,18779,8.79
2012-06-13,3,2,2669,8.323333333333332
2012-06-19,3,3,4597,9.123333333333333
2012-06-20,1,13,1329,0.0
2012-06-21,1,2,2072,0.98
2012-06-22,3,229,17599,7.326666666666665
2012-06-25,3,291,62722,0.0
